Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals
08/08/15,Bournemouth,Aston Villa,0,1
08/08/15,Chelsea,Swansea,2,2
08/08/15,Everton,Watford,2,2
08/08/15,Leicester,Sunderland,4,2
08/08/15,Man United,Tottenham,1,0
08/08/15,Norwich,Crystal Palace,1,3
09/08/15,Arsenal,West Ham,0,2
09/08/15,Newcastle,Southampton,2,2
09/08/15,Stoke,Liverpool,0,1
10/08/15,West Brom,Man City,0,3
14/08/15,Aston Villa,Man United,0,1
15/08/15,Southampton,Everton,0,3
15/08/15,Sunderland,Norwich,1,3
15/08/15,Swansea,Newcastle,2,0
15/08/15,Tottenham,Stoke,2,2
15/08/15,Watford,West Brom,0,0
15/08/15,West Ham,Leicester,1,2
16/08/15,Crystal Palace,Arsenal,1,2
16/08/15,Man City,Chelsea,3,0
17/08/15,Liverpool,Bournemouth,1,0
22/08/15,Crystal Palace,Aston Villa,2,1
22/08/15,Leicester,Tottenham,1,1
22/08/15,Man United,Newcastle,0,0
22/08/15,Norwich,Stoke,1,1
22/08/15,Sunderland,Swansea,1,1
22/08/15,West Ham,Bournemouth,3,4
23/08/15,Everton,Man City,0,2
23/08/15,Watford,Southampton,0,0
23/08/15,West Brom,Chelsea,2,3
24/08/15,Arsenal,Liverpool,0,0
29/08/15,Aston Villa,Sunderland,2,2
29/08/15,Bournemouth,Leicester,1,1
29/08/15,Chelsea,Crystal Palace,1,2
29/08/15,Liverpool,West Ham,0,3
29/08/15,Man City,Watford,2,0
29/08/15,Newcastle,Arsenal,0,1
29/08/15,Stoke,West Brom,0,1
29/08/15,Tottenham,Everton,0,0
30/08/15,Southampton,Norwich,3,0
30/08/15,Swansea,Man United,2,1
12/09/15,Arsenal,Stoke,2,0
12/09/15,Crystal Palace,Man City,0,1
12/09/15,Everton,Chelsea,3,1
12/09/15,Man United,Liverpool,3,1
12/09/15,Norwich,Bournemouth,3,1
12/09/15,Watford,Swansea,1,0
12/09/15,West Brom,Southampton,0,0
13/09/15,Leicester,Aston Villa,3,2
13/09/15,Sunderland,Tottenham,0,1
14/09/15,West Ham,Newcastle,2,0
19/09/15,Aston Villa,West Brom,0,1
19/09/15,Bournemouth,Sunderland,2,0
19/09/15,Chelsea,Arsenal,2,0
19/09/15,Man City,West Ham,1,2
19/09/15,Newcastle,Watford,1,2
19/09/15,Stoke,Leicester,2,2
19/09/15,Swansea,Everton,0,0
20/09/15,Liverpool,Norwich,1,1
20/09/15,Southampton,Man United,2,3
20/09/15,Tottenham,Crystal Palace,1,0
26/09/15,Leicester,Arsenal,2,5
26/09/15,Liverpool,Aston Villa,3,2
26/09/15,Man United,Sunderland,3,0
26/09/15,Newcastle,Chelsea,2,2
26/09/15,Southampton,Swansea,3,1
26/09/15,Stoke,Bournemouth,2,1
26/09/15,Tottenham,Man City,4,1
26/09/15,West Ham,Norwich,2,2
27/09/15,Watford,Crystal Palace,0,1
28/09/15,West Brom,Everton,2,3
